country,country_id,year,electoral_democracy_index,electoral_fairness_index,liberal_democracy_index,freedom_of_expression_index,freedom_of_association_index,free_and_fair_elections_index,civil_society_participation_index,voting_age_restrictions,compulsory_voting,women_voting_rights,election_monitoring_quality,campaign_donation_regulation,public_campaign_financing,vote_buying,campaign_freedom,electoral_fairness_index,election_result_acceptance,voter_turnout,voter_participation_rate,party_ban_restrictions,opposition_party_autonomy,academic_freedom,religious_freedom,freedom_of_movement,men_domestic_movement_freedom,women_domestic_movement_freedom,freedom_to_choose_residence,men_property_rights,women_property_rights,state_control_over_internet,state_territorial_control,civil_society_organizational_autonomy,civil_society_repression,government_consultation_with_civil_society,gender_inclusion_in_civil_society,religious_organization_control,media_censorship,media_censorship_effort,media_censorship_binary,journalist_harassment,media_self_censorship,media_bias,media_corruption,legislative_constraints_on_executive,judicial_constraints_on_executive,other_constraints_on_executive,education_equality,health_equality,gdp_per_capita
Yemen,14,2006,0.285,-1.006,0.151,0.426,0.503,0.186,0.38,18.0,0.0,2.0,0.0,-0.423,0.101,-2.143,0.347,-1.006,-0.697,65.16,62.89,1.439,0.285,-0.39,-1.096,-0.014,-0.372,-1.062,-0.067,1.065,0.635,0.414,73.308,0.105,-0.234,-0.552,-0.357,1.058,-0.941,-0.378,0.954,0.056,-0.016,0.074,-0.132,-0.283,-0.152,-2.36,-1.32,-1.535,9.034
Yemen,14,2012,0.359,-1.174,0.164,0.55,0.575,0.333,0.514,18.0,0.0,2.0,0.0,-0.776,-0.253,0.056,-0.105,-1.174,0.532,64.78,54.16,1.827,0.421,0.348,-1.61,0.353,-0.367,-1.093,0.059,1.065,0.649,-0.486,65.077,1.208,0.211,-0.202,-0.213,1.182,-0.419,-0.46,0.954,0.55,0.726,0.093,-0.089,0.442,0.047,-2.36,-1.271,-1.56,8.579
Colombia,15,2002,0.538,0.423,0.422,0.718,0.812,0.55,0.712,18.0,0.0,2.0,0.0,1.52,1.747,-1.632,2.376,0.423,1.213,46.45,44.83,2.446,2.239,0.497,2.191,1.953,-0.226,0.565,1.585,1.217,1.454,1.098,71.0,1.221,-0.772,0.425,1.873,0.659,1.141,1.561,0.963,0.041,1.348,1.287,0.242,0.13,0.393,0.234,-0.538,-0.268,19.899
Colombia,15,2006,0.573,0.676,0.453,0.72,0.84,0.608,0.729,18.0,0.0,2.0,0.0,1.52,1.917,-0.846,2.532,0.676,1.508,45.11,44.15,2.446,2.239,0.713,2.191,1.953,0.375,0.565,1.585,1.217,1.454,1.098,78.107,0.954,0.589,0.71,1.873,0.659,0.919,1.561,0.963,0.041,1.348,0.83,1.337,0.13,0.393,0.234,-0.479,-0.268,22.8
Colombia,15,2010,0.626,0.991,0.501,0.78,0.868,0.655,0.777,18.0,0.0,2.0,0.0,1.61,1.92,-0.903,2.527,0.991,1.486,49.27,49.3,2.446,2.351,1.125,2.294,1.953,0.538,0.743,1.884,2.062,2.158,1.098,81.714,1.39,1.198,1.186,1.937,0.659,1.097,1.561,0.963,0.085,1.404,1.025,1.337,0.13,0.541,0.509,-0.401,-0.268,26.384
Colombia,15,2018,0.67,1.552,0.538,0.784,0.884,0.749,0.821,18.0,0.0,2.0,0.0,1.66,1.989,-0.771,2.629,1.552,1.706,53.38,57.28,2.446,2.3,1.499,2.079,2.36,0.953,0.985,1.683,1.352,1.518,1.098,81.0,1.816,1.426,1.662,1.676,2.004,1.617,1.513,0.963,0.323,1.106,0.885,1.233,0.176,0.651,0.722,-0.413,-0.519,30.46
Poland,17,2005,0.881,2.323,0.814,0.962,0.892,0.962,0.854,18.0,0.0,2.0,0.0,2.193,2.49,2.388,2.727,2.323,1.372,50.99,51.46,1.531,2.74,2.387,2.553,2.517,1.426,1.744,1.618,2.395,2.925,1.966,98.6,1.835,2.894,2.435,2.34,1.817,2.134,1.602,0.976,2.277,2.965,2.402,1.982,1.731,1.791,0.871,2.571,2.034,35.859
Poland,17,2007,0.873,2.308,0.804,0.951,0.885,0.968,0.854,18.0,0.0,2.0,0.0,2.235,2.49,2.157,2.718,2.308,1.552,53.88,54.24,1.531,2.74,2.008,2.553,2.647,1.426,1.744,1.618,2.395,2.925,1.966,98.6,1.841,2.208,2.435,2.34,1.817,1.656,1.602,0.976,2.277,2.965,1.788,1.982,1.731,1.791,0.871,2.571,2.034,40.14
Poland,17,2010,0.894,2.302,0.831,0.97,0.898,0.967,0.89,18.0,0.0,2.0,0.0,2.235,2.49,2.375,2.709,2.302,1.737,55.31,54.5,1.531,2.74,2.711,2.553,2.647,1.426,1.744,1.618,2.395,2.925,1.966,98.6,1.841,2.893,2.866,2.319,1.817,2.895,1.602,0.976,2.871,2.965,2.433,2.363,1.731,1.791,1.007,2.757,2.128,45.85
Poland,17,2011,0.894,2.295,0.833,0.97,0.897,0.968,0.857,18.0,0.0,2.0,0.0,2.281,2.49,2.174,2.67,2.295,1.561,48.92,48.54,1.531,2.74,2.711,2.553,2.647,1.426,1.744,1.618,2.395,2.925,1.966,98.6,1.841,2.893,2.511,2.319,1.817,2.895,1.602,0.976,2.871,2.965,2.433,2.363,1.708,1.791,1.352,2.757,2.128,47.712
